holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
APLD,Applied Digital Corp,2549004NE2B6RYXINZ02,Applied Digital Corp,038169207,US0381692070,APLD,70.00000000,NS,USD,2938.60,0.23,Long,EC,CORP,US,N,1,N,N,N
BKKT,Bakkt Inc,N/A,Bakkt Inc,05759B305,US05759B3050,BKKT,2500.00000000,NS,USD,20725.00,1.64,Long,EC,CORP,US,N,1,N,N,N
BLSH,Bullish,N/A,Bullish,N/A,KYG169101204,BLSH,840.00000000,NS,USD,19714.80,1.56,Long,EC,CORP,KY,N,1,N,N,N
BMNR,BitMine Immersion Technologies,254900TGJJ1D9JNAQT27,BitMine Immersion Technologies Inc,09175A206,US09175A2069,BMNR,2750.00000000,NS,USD,38555.00,3.06,Long,EC,CORP,US,N,1,N,N,N
BTBT,Bit Digital Inc,2549005XLPRWS7HWCM31,Bit Digital Inc,N/A,KYG1144A1058,BTBT,16180.00000000,NS,USD,31227.40,2.48,Long,EC,CORP,US,N,1,N,N,N
BTDR,Bitdeer Technologies Group,2549007M2KGWVJ9XFP20,Bitdeer Technologies Group,N/A,KYG114481008,BTDR,2830.00000000,NS,USD,49581.60,3.93,Long,EC,CORP,SG,N,1,N,N,N
BTGO,Bitgo Holdings Inc,254900UPX35JR22RH064,Bitgo Holdings Inc,091947101,US0919471013,BTGO,1940.00000000,NS,USD,9777.60,0.78,Long,EC,CORP,US,N,1,N,N,N
CANG,Cango Inc/KY,5299003TQHBB4QUSZB86,Cango Inc/KY,N/A,KYG1820C1107,CANG,48600.00000000,NS,USD,11100.24,0.88,Long,EC,CORP,US,N,1,N,N,N
CBOE,Cboe Global Markets Inc,529900RLNSGA90UPEH54,Cboe Global Markets Inc,12503M108,US12503M1080,CBOE,60.00000000,NS,USD,14975.40,1.19,Long,EC,CORP,US,N,1,N,N,N
CIFR,Cipher Digital Inc,254900QABG5HCQZ28A17,Cipher Digital Inc,17253J106,US17253J1060,CIFR,2760.00000000,NS,USD,72367.20,5.74,Long,EC,CORP,US,N,1,N,N,N
CLSK,Cleanspark Inc,254900VO7KBRJQDGY810,Cleanspark Inc,18452B209,US18452B2097,CLSK,3020.00000000,NS,USD,49014.60,3.89,Long,EC,CORP,US,N,1,N,N,N
CME,CME Group Inc,LCZ7XYGSLJUHFXXNXD88,CME Group Inc,12572Q105,US12572Q1058,CME,220.00000000,NS,USD,50969.60,4.04,Long,EC,CORP,US,N,1,N,N,N
CNCK,Coincheck Group NV,5299004Z2A5SO6LXBB37,Coincheck Group NV,N/A,NL0015002BV9,CNCK,10710.00000000,NS,USD,23347.80,1.85,Long,EC,CORP,NL,N,1,N,N,N
COIN,Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,520.00000000,NS,USD,78057.20,6.19,Long,EC,CORP,US,N,1,N,N,N
